Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,57,,21,,74423,,,0
H4,2017,2017,2017,4,0,2,Export,31,Azerbaijan,AZE,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,321,,,0
H4,2017,2017,2017,4,0,2,Export,31,Azerbaijan,AZE,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,1,,1120,,,0
H4,2017,2017,2017,4,0,2,Export,31,Azerbaijan,AZE,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,178,,,0
H4,2017,2017,2017,4,0,2,Export,31,Azerbaijan,AZE,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,9,,8,,45,,,0
H4,2017,2017,2017,4,0,2,Export,31,Azerbaijan,AZE,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,0,,29372,,,0
H4,2017,2017,2017,4,0,2,Export,31,Azerbaijan,AZE,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,1,,10773,,,0
H4,2017,2017,2017,4,0,2,Export,31,Azerbaijan,AZE,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,6,,26543,,,0
H4,2017,2017,2017,4,0,2,Export,31,Azerbaijan,AZE,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,2,,1856,,,0
H4,2017,2017,2017,4,0,2,Export,31,Azerbaijan,AZE,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,34,,1,,4212,,,0
