Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,84353700,,,4
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,134,,4,,2900,,,4
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,14,,62,,23700,,,0
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5823050,,40,,289900,,,0
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,17,,5,,3000,,,0
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,200,,,4
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,57513,,0,,2500,,,4
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,717050810,,818,,3352300,,,0
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5046,,1334,,387500,,,0
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7,,1,,2200,,,0
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,163,,1,,16800,,,0
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,343,,28,,8600,,,0
