Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,222,El Salvador,SLV,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1290,,113940,,,2
H5,2017,2017,2017,4,0,2,Export,222,El Salvador,SLV,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,799,,,0
H5,2017,2017,2017,4,0,2,Export,222,El Salvador,SLV,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,1384,,,0
H5,2017,2017,2017,4,0,2,Export,222,El Salvador,SLV,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,1165,,,0
H5,2017,2017,2017,4,0,2,Export,222,El Salvador,SLV,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1709,,,2
H5,2017,2017,2017,4,0,2,Export,222,El Salvador,SLV,320,Guatemala,GTM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18,,6464,,,0
H5,2017,2017,2017,4,0,2,Export,222,El Salvador,SLV,340,Honduras,HND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,631,,9634,,,2
H5,2017,2017,2017,4,0,2,Export,222,El Salvador,SLV,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,42,,291,,,0
H5,2017,2017,2017,4,0,2,Export,222,El Salvador,SLV,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,995,,,0
H5,2017,2017,2017,4,0,2,Export,222,El Salvador,SLV,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1106,,,0
H5,2017,2017,2017,4,0,2,Export,222,El Salvador,SLV,558,Nicaragua,NIC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,2052,,,0
H5,2017,2017,2017,4,0,2,Export,222,El Salvador,SLV,591,Panama,PAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,55,,8927,,,0
H5,2017,2017,2017,4,0,2,Export,222,El Salvador,SLV,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,504,,79409,,,2
