Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,164717,,51065583,,,6
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,3,,,2
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,36,,,2
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2775,,32,,4633,,,2
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3557,,836942,,,6
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,96,,171710,,,2
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,156180,,257,,416473,,,2
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,23203,,40,,36284,,,2
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,755,,,2
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3932,,2600749,,,2
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,647,,,2
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,346,,,2
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7213,,230,,278924,,,6
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4076,,38303,,,2
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,231,Ethiopia,ETH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,0,,,2
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,71814,,15072678,,,2
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,194,,40483,,,6
H5,2017,2017,2017,4,0,2,Export,233,Estonia,EST,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1666,,304185,,,6
