Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,173838,,466417953,,,6
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,11,,0,,57,,,6
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,53,,10487,,,6
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,126,,79234,,,6
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3532,,42,,14708,,,6
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,21,,,6
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1,,1,,3748,,,0
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,29,,,6
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,144,,369324,,,6
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,566,,1635823,,,6
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,319,,10,,1524,,,2
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,8691,,,6
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,84,,56755,,,6
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,136,Cayman Isds,CYM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10,,2,,33,,,0
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,111,,34916,,,6
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,52956,,204612296,,,6
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,752,,,6
H5,2017,2017,2017,4,0,2,Export,246,Finland,FIN,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15,,5140,,,6
