Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7771375,,6683227695,,,6
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2670,,673031,,,6
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1504,,3065084,,,6
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,469,,185505,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,86547,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3837,,5329313,,,6
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5191,,3456304,,,6
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,45780,,35771877,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1610,,31790,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18,,3147,,,6
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,3302,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,315,,,6
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,70669,,36159967,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,3811,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27,,5134,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,160,,1392,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,69724,,61358715,,,6
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,31,,42858,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,429,,37859,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18295,,21087794,,,6
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,136,Cayman Isds,CYM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,350,,4180,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,75628,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,148,Chad,TCD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,65,,17833,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1481,,722757,,,6
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,81721,,82548173,,,6
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1192,,601222,,,6
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,178,Congo,COG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,492,,92926,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,180,Dem. Rep. of the Congo,COD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3507,,78838,,,2
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,132,,5251,,,6
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2062,,393205,,,6
