Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18185875,,15149464304,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8624,,53,,24197,,,2
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,25358,,163,,65395,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,140,,386595,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,21349,,20,,66752,,,2
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5448,,9,,9737,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,42,,54027,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,753,,1910098,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8512,,4741601,,,2
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1101995,,405309246,,,2
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,642,,,2
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,108,,165255,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,669,,623518,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,712,,330629,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1403685,,126313357,,,2
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,64,Bhutan,BTN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1700,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27,,27401,,,6
H5,2017,2017,2017,4,0,2,Export,276,Germany,DEU,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2893,,1345660,,,6
