Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,63367,,18236315,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,69,,10663,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1631,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,42,,1386,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,2700,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,231647,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,2949,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,47,,13542,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,332,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2041,,1282251,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,22,,41939,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27153,,11722862,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,56,,13586,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,6,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,46,,12982,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3177,,104141,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,292,Gibraltar,GIB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,2485,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,128,,6472,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,173811,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,444,,41303,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,368,Iraq,IRQ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,3559,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,499,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,291,,15262,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,4,,4,,211145,,,0
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,404,Kenya,KEN,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,99,,99,,55057,,,0
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,302,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,422,Lebanon,LBN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,67,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,428,Latvia,LVA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,45,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,430,Liberia,LBR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,19,,19,,4333,,,0
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,60,,21163,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,585,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,12,,12,,6599,,,0
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1201,,2059288,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,566,Nigeria,NGA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,915,,65283,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,463,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,584,Marshall Isds,MHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,1626,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,591,Panama,PAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14,,8801,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,379,,87816,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,634,Qatar,QAT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,7742,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,642,Romania,ROU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25656,,595477,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,688,Serbia,SRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,7612,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,699,India,IND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,687,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14,,31689,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,705,Slovenia,SVN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,18396,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,7904,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,93,,16854,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,235,,100735,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,780,Trinidad and Tobago,TTO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,2570,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,113,,16417,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,818,Egypt,EGY,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,57,,4369,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,717,,51918,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,834,United Rep. of Tanzania,TZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,1242,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,139,,1161721,,,2
H5,2017,2017,2017,4,0,2,Export,300,Greece,GRC,858,Uruguay,URY,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,6,,6,,2372,,,0
