Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,63828,,433274,,,6
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,94,,94,,3116,,,0
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1650,,32132,,97518,,,2
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,202,,86,,7574,,,4
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1858,,1,,2596,,,0
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,7,,16555,,,0
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,77,,102,,35475,,,0
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18,,9641,,,4
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,407,,64,,17833,,,0
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,591,Panama,PAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,570,,13429,,33694,,,2
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,600,Paraguay,PRY,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,791,,152,,3955,,,0
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,3,,280,,,0
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,1172,,,0
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,6,,300,,,0
H5,2017,2017,2017,4,0,2,Export,340,Honduras,HND,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10854,,17728,,203560,,,2
