Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,77064631,,,6
H5,2017,2017,2017,4,0,2,Export,699,India,IND,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,618,,15,,14034,,,4
H5,2017,2017,2017,4,0,2,Export,699,India,IND,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,8,,8,,1339,,,0
H5,2017,2017,2017,4,0,2,Export,699,India,IND,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,263,,,,3275,,,4
H5,2017,2017,2017,4,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,89,,76437,,,4
H5,2017,2017,2017,4,0,2,Export,699,India,IND,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,46216,,131,,118424,,,4
H5,2017,2017,2017,4,0,2,Export,699,India,IND,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,122,,,,1064,,,4
H5,2017,2017,2017,4,0,2,Export,699,India,IND,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1859,,163611,,,4
H5,2017,2017,2017,4,0,2,Export,699,India,IND,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,,,1839,,,4
H5,2017,2017,2017,4,0,2,Export,699,India,IND,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,29,,1,,1083,,,4
H5,2017,2017,2017,4,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,58,,21808,,,4
H5,2017,2017,2017,4,0,2,Export,699,India,IND,64,Bhutan,BTN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,313,,21164,,,4
H5,2017,2017,2017,4,0,2,Export,699,India,IND,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,214,,20135,,,4
H5,2017,2017,2017,4,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,408,,373642,,,4
