Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,430658810,,,6
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,16,American Samoa,ASM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,4,,4986,,,4
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1585,,1438840,,,6
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,51928,,,,491683,,,4
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,131653,,732,,671293,,,4
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,38,,,,6904,,,4
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,92,Br. Virgin Isds,VGB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2000,,,,4446,,,4
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,827,,,,31944,,,4
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2329569,,,6
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,136,Cayman Isds,CYM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,21075,,41,,41977,,,4
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,500,,,,788,,,4
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,148,Chad,TCD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,918,,,4
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,67538,,65303766,,,6
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,26918,,,,581687,,,4
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,,,939,,,4
