Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,0,World,WLD,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,11326,,221468,,,6
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,14,,1558,,,6
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,2,,421,,,2
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,17,,809,,,6
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,136,Cayman Isds,CYM,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,1,,214,,,2
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,156,China,CHN,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,6865,,35520,,,6
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,251,France,FRA,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,2,,1000,,,2
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,68,,68,,2249,,,0
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,132,,2529,,,6
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,3,,1821,,,2
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,388,Jamaica,JAM,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,29,,2760,,,6
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,18,,501,,,6
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,5,,668,,,2
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,1,,144,,,6
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,261,,15716,,,6
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,0,,46,,,6
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,40,,3033,,,6
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,533,Aruba,ABW,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,8,,396,,,2
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,3,,590,,,2
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,703,Slovakia,SVK,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,20,,2327,,,2
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,740,Suriname,SUR,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,2,,24,,,2
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,2,,212,,,2
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,5,,204,,,6
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,780,Trinidad and Tobago,TTO,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,2,,756,,,2
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,40,,2289,,,2
H2,2017,2017,2017,4,0,1,Import,52,Barbados,BRB,842,USA,USA,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,3779,,145678,,,6
