Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,54611200,,,6
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1075,,2,,1300,,,4
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,23,,0,,100,,,4
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,27418,,31,,82900,,,4
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,733,,100,,81000,,,4
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,66,,137,,25700,,,0
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,20,,0,,200,,,4
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,400,,,0
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10873256,,14493,,5968700,,,6
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,220,,13,,17100,,,4
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10565,,113,,161800,,,4
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,160,,27,,16300,,,4
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,44,,4,,8600,,,0
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,32,,3,,2800,,,4
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,991,,24,,18200,,,4
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,950,,711700,,,4
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3962994,,92,,308900,,,4
