Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,717190,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1010,,517,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,507,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6542,,42373,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13516,,12456,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,180,Dem. Rep. of the Congo,COD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,36,,264,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,368639,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,266,Gabon,GAB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,98,,4694,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,53,,1886,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,293,,74053,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,398,Kazakhstan,KAZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,9373,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,123,,14513,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,188,,36495,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,568,"Other Europe, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,5406,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,12947,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,334,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14,,3424,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3590,,1923,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,792,Turkey,TUR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,772,,6953,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,82,,37473,,,2
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,463,,82950,,,2
