Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,24770039,,,6
H5,2017,2017,2017,4,0,1,Import,191,Croatia,HRV,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,234,,,6
H5,2017,2017,2017,4,0,1,Import,191,Croatia,HRV,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,456456,,,6
H5,2017,2017,2017,4,0,1,Import,191,Croatia,HRV,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,257724,,,6
H5,2017,2017,2017,4,0,1,Import,191,Croatia,HRV,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,5520,,,6
H5,2017,2017,2017,4,0,1,Import,191,Croatia,HRV,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,802,,,6
H5,2017,2017,2017,4,0,1,Import,191,Croatia,HRV,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,15581,,,6
H5,2017,2017,2017,4,0,1,Import,191,Croatia,HRV,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,644273,,,6
H5,2017,2017,2017,4,0,1,Import,191,Croatia,HRV,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,4310462,,,6
H5,2017,2017,2017,4,0,1,Import,191,Croatia,HRV,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,274769,,,6
H5,2017,2017,2017,4,0,1,Import,191,Croatia,HRV,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,841,,,6
H5,2017,2017,2017,4,0,1,Import,191,Croatia,HRV,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,581965,,,6
