Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,367043,,605328128,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25,,68049,,,2
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,51,,,2
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,34,,18521,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,252,,348451,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,235,,627305,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,687,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14,,1630,,,2
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,50,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,420,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,78,,119036,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,171,,,2
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,40322,,22920603,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,367,,125391,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,412,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,14,,1,,37,,,2
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2246,,743334,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1472,,716809,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,19966,,6127535,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1614,,10727461,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14934,,11022038,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,85,,1,,223,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,811,,232084,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,48,,84607,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,352,Iceland,ISL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,760,,,2
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1252,,1042229,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,364,Iran,IRN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,634,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,774,,677316,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,62,,126798,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1460,,254590,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21535,,32428569,,,6
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,400,Jordan,JOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,321,,,2
H5,2017,2017,2017,4,0,1,Import,246,Finland,FIN,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,73349,,249428502,,,6
