Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,268,Georgia,GEO,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,38826,,12639758,,,0
H4,2017,2017,2017,4,0,1,Import,268,Georgia,GEO,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,197,,3,,866,,,0
H4,2017,2017,2017,4,0,1,Import,268,Georgia,GEO,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,66,,,0
H4,2017,2017,2017,4,0,1,Import,268,Georgia,GEO,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,1,,1140,,,0
H4,2017,2017,2017,4,0,1,Import,268,Georgia,GEO,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,39,,18,,8751,,,0
H4,2017,2017,2017,4,0,1,Import,268,Georgia,GEO,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1876,,311,,73351,,,0
H4,2017,2017,2017,4,0,1,Import,268,Georgia,GEO,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8,,2,,2040,,,0
H4,2017,2017,2017,4,0,1,Import,268,Georgia,GEO,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5400,,11,,34320,,,0
H4,2017,2017,2017,4,0,1,Import,268,Georgia,GEO,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,24215,,2013562,,,0
H4,2017,2017,2017,4,0,1,Import,268,Georgia,GEO,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,16,,77,,19200,,,0
H4,2017,2017,2017,4,0,1,Import,268,Georgia,GEO,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10507,,1300,,989180,,,0
