Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,276,Germany,DEU,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25179401,,17384526993,,,6
H5,2017,2017,2017,4,0,1,Import,276,Germany,DEU,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,4391,,,2
H5,2017,2017,2017,4,0,1,Import,276,Germany,DEU,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,4158,,,2
H5,2017,2017,2017,4,0,1,Import,276,Germany,DEU,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2281,,941135,,,2
H5,2017,2017,2017,4,0,1,Import,276,Germany,DEU,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,813996,,177284258,,,6
H5,2017,2017,2017,4,0,1,Import,276,Germany,DEU,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,482668,,64630346,,,6
H5,2017,2017,2017,4,0,1,Import,276,Germany,DEU,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,580,,1,,582,,,2
H5,2017,2017,2017,4,0,1,Import,276,Germany,DEU,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1157,,3,,1162,,,2
H5,2017,2017,2017,4,0,1,Import,276,Germany,DEU,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,391,,138676,,,2
H5,2017,2017,2017,4,0,1,Import,276,Germany,DEU,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,101,,101,,584,,,0
