Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,0,World,WLD,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,,,4894,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,28,Antigua and Barbuda,ATG,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,9,,9,,113,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,23,,23,,883,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,1,,1,,4,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,92,Br. Virgin Isds,VGB,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,2,,2,,24,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,0,,947,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,136,Cayman Isds,CYM,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,5,,5,,40,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,8,,8,,32,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,212,Dominica,DMA,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,3,,3,,12,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,251,France,FRA,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,11,,11,,184,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,9,,9,,170,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,308,Grenada,GRD,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,6,,6,,35,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,388,Jamaica,JAM,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,0,,687,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,2,,2,,8,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,500,Montserrat,MSR,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,1,,1,,1,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,13,,13,,490,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,531,Curaçao,CUW,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,10,,10,,88,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,533,Aruba,ABW,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,,,4,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,534,Saint Maarten,SXM,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,3,,3,,12,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,659,Saint Kitts and Nevis,KNA,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,5,,5,,16,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,662,Saint Lucia,LCA,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,19,,19,,172,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,670,Saint Vincent and the Grenadines,VCT,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,5,,5,,52,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,699,India,IND,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,0,,364,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,2,,2,,8,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,780,Trinidad and Tobago,TTO,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,0,,100,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,796,Turks and Caicos Isds,TCA,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,6,,6,,27,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,804,Ukraine,UKR,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,1,,1,,12,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,3,,3,,11,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,842,USA,USA,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,0,,244,,,0
H2,2017,2017,2017,4,0,2,Export,52,Barbados,BRB,862,Venezuela,VEN,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,1,,1,,150,,,0
