Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5696,,310550,,,2
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3725,,173093,,,2
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,64,,7022,,,2
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,97,,13345,,,2
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,113,,,2
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,51,,32793,,,2
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,3390,,,2
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,120,,21768,,,2
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,499,Montenegro,MNE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18,,305,,,2
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,33,,15227,,,2
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,688,Serbia,SRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1529,,32247,,,2
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,690,Seychelles,SYC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,40,,3645,,,2
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,2318,,,2
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,5284,,,2
