Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,58,,,,3689,,,4
H5,2017,2017,2017,4,0,2,Export,96,Brunei Darussalam,BRN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,722,,,4
H5,2017,2017,2017,4,0,2,Export,96,Brunei Darussalam,BRN,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,,,610,,,4
H5,2017,2017,2017,4,0,2,Export,96,Brunei Darussalam,BRN,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,505,,,4
H5,2017,2017,2017,4,0,2,Export,96,Brunei Darussalam,BRN,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,26,,,4
H5,2017,2017,2017,4,0,2,Export,96,Brunei Darussalam,BRN,524,Nepal,NPL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,288,,,4
H5,2017,2017,2017,4,0,2,Export,96,Brunei Darussalam,BRN,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7,,,,296,,,4
H5,2017,2017,2017,4,0,2,Export,96,Brunei Darussalam,BRN,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,41,,,,498,,,4
H5,2017,2017,2017,4,0,2,Export,96,Brunei Darussalam,BRN,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,,,154,,,4
H5,2017,2017,2017,4,0,2,Export,96,Brunei Darussalam,BRN,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,586,,,4
