Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,41662663,,67201901492,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,808,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,158,,4658,,,2
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2743,,765842,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,56,,32946,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,233,,44732,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9111,,3436335,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11805,,3319391,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7013,,31197619,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,224,,43241,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,29570,,5349449,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1261,,,2
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,222,,,2
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2087,,2092943,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,60,Bermuda,BMU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,8,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,107,,21026,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,150,,30499,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,192129,,516597295,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,92,Br. Virgin Isds,VGB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1102,,3291076,,,2
