Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2183994970,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,13652,,,,717767,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,18946,,,,191281,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,125831,,,,153546,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,17,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8391,,,,387308,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,52,,,,5958,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2827407,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,84,Belize,BLZ,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,150,,,,3264,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5500,,,,900,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,8451842,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,414,,,,105961,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,369210115,,,,38012079,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,413692,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,252381,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,192,Cuba,CUB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,759660,,,,1042792,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1001296,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1600,,,,2822,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2415,,,,22797,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,546,,,,77596,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1932,,,,20851,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,14753,,13,,14103,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,79762,,,,16562,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,424719,,,,1469142,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1376607,,,,2330881,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,320,Guatemala,GTM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12406,,,,420810,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,340,Honduras,HND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2346,,,,10772,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,63786661,,,4
H4,2017,2017,2017,4,0,2,Export,484,Mexico,MEX,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1250449,,,,2384830,,,4
