Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,19854715,,13982206627,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,341,,321895,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,12448,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,76,,55893,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2702,,2916278,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21391,,24430816,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,35880,,18348961,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,2122,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,445,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2262,,2640831,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,92,Br. Virgin Isds,VGB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,11222,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25558,,17440140,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,27,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14935,,13869256,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,401,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,85,,17376,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2036711,,1318513784,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,170,,49172,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,1396,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,230195,,29555924,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,427,,1013314,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,232,Eritrea,ERI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,2373,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,293,,804012,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,242,Fiji,FJI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1460,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,435,,1433187,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,415739,,229880373,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,28,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1234271,,846978070,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,288,Ghana,GHA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,28,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,126,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,332,Haiti,HTI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,45,,33833,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5435236,,4151048440,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11095,,15784314,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,352,Iceland,ISL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,22967,,,2
H4,2017,2017,2017,4,0,2,Export,608,Philippines,PHL,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4320,,4039578,,,2
