Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,2,Export,498,Rep. of Moldova,MDA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1745102,,,6
H4,2017,2017,2017,4,0,2,Export,498,Rep. of Moldova,MDA,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,70,,,4
H4,2017,2017,2017,4,0,2,Export,498,Rep. of Moldova,MDA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,13950,,4,,4272,,,0
H4,2017,2017,2017,4,0,2,Export,498,Rep. of Moldova,MDA,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,7317,,,6
H4,2017,2017,2017,4,0,2,Export,498,Rep. of Moldova,MDA,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,24,,0,,9821,,,4
H4,2017,2017,2017,4,0,2,Export,498,Rep. of Moldova,MDA,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4239,,0,,208,,,4
H4,2017,2017,2017,4,0,2,Export,498,Rep. of Moldova,MDA,642,Romania,ROU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,40,,0,,399,,,0
H4,2017,2017,2017,4,0,2,Export,498,Rep. of Moldova,MDA,643,Russian Federation,RUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,40,,19,,5713,,,0
H4,2017,2017,2017,4,0,2,Export,498,Rep. of Moldova,MDA,804,Ukraine,UKR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1143053,,834,,1717106,,,0
H4,2017,2017,2017,4,0,2,Export,498,Rep. of Moldova,MDA,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,,,196,,,4
