Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,642,Romania,ROU,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1336718,,69071962,,,6
H5,2017,2017,2017,4,0,2,Export,642,Romania,ROU,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,5,,,0
H5,2017,2017,2017,4,0,2,Export,642,Romania,ROU,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,3733,,,2
H5,2017,2017,2017,4,0,2,Export,642,Romania,ROU,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,100,,,2
H5,2017,2017,2017,4,0,2,Export,642,Romania,ROU,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,103,,75173,,,2
H5,2017,2017,2017,4,0,2,Export,642,Romania,ROU,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4966,,525774,,,6
H5,2017,2017,2017,4,0,2,Export,642,Romania,ROU,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3747,,773794,,,6
H5,2017,2017,2017,4,0,2,Export,642,Romania,ROU,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,2169,,,2
H5,2017,2017,2017,4,0,2,Export,642,Romania,ROU,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,57,,39117,,,2
H5,2017,2017,2017,4,0,2,Export,642,Romania,ROU,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,6204,,,2
H5,2017,2017,2017,4,0,2,Export,642,Romania,ROU,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1803,,823324,,,6
H5,2017,2017,2017,4,0,2,Export,642,Romania,ROU,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,24,,173650,,,2
H5,2017,2017,2017,4,0,2,Export,642,Romania,ROU,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,285,,,2
H5,2017,2017,2017,4,0,2,Export,642,Romania,ROU,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1793,,,2
