Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,703,Slovakia,SVK,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1065636,,157108715,,,6
H5,2017,2017,2017,4,0,2,Export,703,Slovakia,SVK,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,19,,3,,15,,,6
H5,2017,2017,2017,4,0,2,Export,703,Slovakia,SVK,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,161,,,6
H5,2017,2017,2017,4,0,2,Export,703,Slovakia,SVK,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,359,,,2
H5,2017,2017,2017,4,0,2,Export,703,Slovakia,SVK,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,159,,,2
H5,2017,2017,2017,4,0,2,Export,703,Slovakia,SVK,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,508180,,60657,,1769727,,,2
H5,2017,2017,2017,4,0,2,Export,703,Slovakia,SVK,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1260,,,2
H5,2017,2017,2017,4,0,2,Export,703,Slovakia,SVK,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1759,,237729,,,2
H5,2017,2017,2017,4,0,2,Export,703,Slovakia,SVK,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,421,,,6
H5,2017,2017,2017,4,0,2,Export,703,Slovakia,SVK,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1629819,,2335,,3064765,,,2
H5,2017,2017,2017,4,0,2,Export,703,Slovakia,SVK,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,89,,3,,348,,,2
