Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14437671,,770591773,,,6
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17821,,41511,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,108,,4420,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,2,,2,,21240,,,0
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,1034,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25,,192363,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1807,,1803214,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,131889,,9417767,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,240,,,6
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1583,,444187,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,140,Central African Rep.,CAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,1043,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,192,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,131730,,67350135,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,1285,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,214,,232564,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,47,,217110,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,31457,,7361126,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,425474,,2047608,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,310,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15,,12259,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,146,,205889,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,161594,,26637490,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,220,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10514604,,155957719,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,40,,5814,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,324,Guinea,GIN,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,16460,,16460,,1134,,,0
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,340,Honduras,HND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,974,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17907,,5444794,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,46739,,6491895,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3376,,473989,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15141,,6167886,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2760,,22577189,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,29739,,9420865,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,35731,,12581288,,,6
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4626,,9885652,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,422,Lebanon,LBN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,274,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,428,Latvia,LVA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1085,,2002431,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,266,,1216773,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,442,Luxembourg,LUX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1236,,1466235,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,92013,,86269132,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,19734,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,579,,288463,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15009,,36639669,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3423,,280596,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1562109,,154484346,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,554,New Zealand,NZL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,1079,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,568,"Other Europe, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,18761,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,224,,112031,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,53512,,42231850,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21677,,4741281,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,620,Portugal,PRT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1120,,224147,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,642,Romania,ROU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,56838,,12908754,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,20751,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,660,Anguilla,AIA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,1685,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,682,Saudi Arabia,SAU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,146,,17416,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,688,Serbia,SRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,212,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,699,India,IND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,404,,174801,,,6
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,757,,610880,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,703,Slovakia,SVK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3080,,645949,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,36,,53449,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,705,Slovenia,SVN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,92,,413307,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,24,,12306,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18618,,6966824,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20265,,807060,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3041,,1697442,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,32052,,9039708,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,84,,2033,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,788,Tunisia,TUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21368,,38255,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,792,Turkey,TUR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,53,,12506,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,800,Uganda,UGA,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,11,,11,,608,,,0
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,804,Ukraine,UKR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17,,600,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,818,Egypt,EGY,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1166,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,905037,,32792224,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,834,United Rep. of Tanzania,TZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,115,,,2
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,32356,,29374477,,,2
