Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,31333048,,,6
H5,2017,2017,2017,4,0,1,Import,152,Chile,CHL,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,51,,22433,,,4
H5,2017,2017,2017,4,0,1,Import,152,Chile,CHL,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,135,,80,,73291,,,4
H5,2017,2017,2017,4,0,1,Import,152,Chile,CHL,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,73,,65050,,,4
H5,2017,2017,2017,4,0,1,Import,152,Chile,CHL,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15751,,1,,1703,,,4
H5,2017,2017,2017,4,0,1,Import,152,Chile,CHL,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,44,,41045,,,4
H5,2017,2017,2017,4,0,1,Import,152,Chile,CHL,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,138,,,4
H5,2017,2017,2017,4,0,1,Import,152,Chile,CHL,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,251,,245077,,,4
H5,2017,2017,2017,4,0,1,Import,152,Chile,CHL,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,612,,,,15883,,,4
H5,2017,2017,2017,4,0,1,Import,152,Chile,CHL,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,266,,235619,,,4
