Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,3308307135,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12,,18856,,,2
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,61,,14117,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,69594,,8392148,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,2,,,2
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,50414,,21312109,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,60,Bermuda,BMU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,33,,0,,217,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,28,,29844,,,2
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3034,,2403250,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,21,,0,,138,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17,,18984,,,2
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,2343,,,2
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14,,1537,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,140,,468370,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,15176,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,899971,,378512266,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,184,Cook Isds,COK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,235,,,2
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7901,,31647751,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,33,,3959,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,467,,24202,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2750,,1070142,,,2
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,14,,,6
H5,2017,2017,2017,4,0,1,Import,203,Czechia,CZE,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,197,,31630,,,2
