Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2663723,,73956212,,,6
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,120,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,410,,803728,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20992,,6581055,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,2044,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,14908,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,6286,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2866,,5352301,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1295,,678534,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,189002,,534556,,,6
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,339888,,6373631,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1256,,593612,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,920,,6726030,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,570005,,21884574,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1862310,,875,,2647332,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1303,,497413,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,319,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,58470,,661,,63821,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,114,,84009,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,591,,406258,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,69,,41619,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,52,,155299,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,428,Latvia,LVA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,144811,,1601440,,,6
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,442,Luxembourg,LUX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,39,,3103,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,534575,,283,,569031,,,2
H5,2017,2017,2017,4,0,1,Import,440,Lithuania,LTU,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15,,11601,,,2
