Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,228887,,140367169,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,25,,13541,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3440067,,1081,,3001320,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,143,,60798,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1096,,586550,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7117,,11815108,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,3,,381,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,63,,11647,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1128,,514962,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15,,1,,173,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,3,,372,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,31169,,10169418,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,158,,92056,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,3218,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,7,,7,,1082,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,758,,162334,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25506,,2768606,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,267,,56787,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1511,,306173,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3763,,1508265,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21955,,5068731,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,292,Gibraltar,GIB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,9,,10888,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1,,1,,804,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,340,Honduras,HND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,4,,523,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,672,,321725,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,440,,36105,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,352,Iceland,ISL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,6302,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,180,,50097,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,498,,253719,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,175,,217358,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4874,,454655,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1725,,2151866,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15324,,35532175,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,428,Latvia,LVA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,297,,363718,,,0
H5,2017,2017,2017,4,0,1,Import,579,Norway,NOR,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,974,,82858,,,0
