Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,600,Paraguay,PRY,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,30700,,1809931,,,6
H5,2017,2017,2017,4,0,1,Import,600,Paraguay,PRY,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,56,,9203,,,6
H5,2017,2017,2017,4,0,1,Import,600,Paraguay,PRY,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1590,,,2
H5,2017,2017,2017,4,0,1,Import,600,Paraguay,PRY,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1158,,34910,,,6
H5,2017,2017,2017,4,0,1,Import,600,Paraguay,PRY,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21,,1720,,,2
H5,2017,2017,2017,4,0,1,Import,600,Paraguay,PRY,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25853,,1090952,,,6
H5,2017,2017,2017,4,0,1,Import,600,Paraguay,PRY,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,88,,89564,,,2
H5,2017,2017,2017,4,0,1,Import,600,Paraguay,PRY,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,4003,,,2
H5,2017,2017,2017,4,0,1,Import,600,Paraguay,PRY,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,31,,12621,,,2
H5,2017,2017,2017,4,0,1,Import,600,Paraguay,PRY,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,33,,857,,,6
