Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,556374,,1074274966,,,6
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,206,,0,,290,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10,,0,,104,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,813,,10,,24239,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,107334,,174,,209398,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,94982,,95,,76668,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10629,,14,,9334,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,708,,13,,7759,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12551,,62347936,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,120,,0,,14,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1045,,9240540,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,43,,3,,5033,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,72607,,122854700,,,6
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5383,,486,,1652339,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,172,,0,,169,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12678,,2,,3327,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,36649,,134,,455290,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,26341,,,6
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,30,,1,,3636,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,242,Fiji,FJI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,20,,0,,84,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6977,,63,,116508,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,871361,,1274,,14401569,,,6
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,32200,,8,,25900,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1452,,6277894,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,14,,0,,41,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,523959,,508,,488648,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,18061,,727,,585165,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,380583,,427,,833313,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,364,Iran,IRN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3038,,5,,5856,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,99936,,89,,289414,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,105,,353323,,,6
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,926,,547065,,,6
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,384,Côte d'Ivoire,CIV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,220,,1,,6427,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6688,,15585318,,,6
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,61854,,273,,47946,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,400,Jordan,JOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8140,,2,,9852,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,404,Kenya,KEN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,0,,200,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,408,Dem. People's Rep. of Korea,PRK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,70,,5,,15963,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,40565,,79735384,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,428,Latvia,LVA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,722409,,904,,3912365,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,246,,52,,54580,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,442,Luxembourg,LUX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,2,,3312,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,446,"China, Macao SAR",MAC,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7000,,1,,3872,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,454,Malawi,MWI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,40,,0,,29,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,69055092,,126661,,211511716,,,6
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,466,Mali,MLI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3120,,1,,6559,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,852363,,3458,,3970200,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,480,Mauritius,MUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2260,,1,,1176,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,14800377,,3570,,3415676,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,69026,,183884363,,,6
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,499,Montenegro,MNE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,467,,0,,1880,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,9242074,,1564,,1553754,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,516,Namibia,NAM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,210,,0,,71,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,227802,,100,,95132,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,554,New Zealand,NZL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,11586,,24,,66734,,,4
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,562,Niger,NER,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8000,,2,,1130,,,0
H5,2017,2017,2017,4,0,1,Import,643,Russian Federation,RUS,568,"Other Europe, nes",,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,195,,42,,62072,,,4
