Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18830,,767938,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,474,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,518,,15014,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,691,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12684,,5892,,24153,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,21,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,7762,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,832,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4172,,248191,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,782,,14079,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1085,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,38957,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,352,Iceland,ISL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1400,,1885,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,1,,1,,5750,,,0
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1789,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,1705,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,489,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,204,,22168,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,494,,90153,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,586,Pakistan,PAK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,11385,,21,,9340,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,24,,5759,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,620,Portugal,PRT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,395,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,437,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,848,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,1493,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1743,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1459,,30816,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1291,,7971,,,2
H4,2017,2017,2017,4,0,1,Import,686,Senegal,SEN,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2520,,233928,,,2
