Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,59211436375,,,6
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8520,,,,104626,,,4
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,11800,,,,21638,,,4
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,60,,,,52,,,4
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10958,,5707332,,,6
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,131284,,118038777,,,6
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6250,,,,3752,,,4
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,519760,,,,32527,,,4
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,975440,,,,84382,,,4
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6458,,4175364,,,6
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,60,Bermuda,BMU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,63000,,,,16860,,,4
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,900,,,,7995,,,4
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,0,,,,21236,,,4
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,707626,,,6
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,13790,,,,2178,,,4
H4,2017,2017,2017,4,0,1,Import,702,Singapore,SGP,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2863,,1700613,,,6
