Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,33536528,,,6
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,110,,100771,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,72576,,,,105081,,,6
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4115,,,,17639,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,74,,,,6235,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,412466,,,,819075,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5207,,3088877,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7,,,,21037,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,39,,15,,14726,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,30,,71,,63318,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6,,0,,267,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1529,,1365553,,,6
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,882,,750213,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1060,,967884,,,6
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,161,,,,1389,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,63540,,,,19696,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,364,Iran,IRN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,2162,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,60626,,,,38325,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,,,3423,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,121,,88471,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,775,,715197,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,408,Dem. People's Rep. of Korea,PRK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3000,,,,747,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,171,,152622,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,460,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,446,"China, Macao SAR",MAC,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5325,,,,945,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2959,,2722098,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,462,Maldives,MDV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,11,,,,8292,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,466,Mali,MLI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,,,103,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15130,,,,11391,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,478,Mauritania,MRT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2500,,,,1140,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,193448,,218,,199987,,,4
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1533,,1288894,,,6
