Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2017,2017,2017,4,0,1,Import,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,1745,,32647,,,2
H2,2017,2017,2017,4,0,1,Import,626,Timor-Leste,TLS,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,822,,18231,,,2
H2,2017,2017,2017,4,0,1,Import,626,Timor-Leste,TLS,156,China,CHN,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,442,,506,,,2
H2,2017,2017,2017,4,0,1,Import,626,Timor-Leste,TLS,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,1,,1,,38,,,0
H2,2017,2017,2017,4,0,1,Import,626,Timor-Leste,TLS,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,49,,50,,,2
H2,2017,2017,2017,4,0,1,Import,626,Timor-Leste,TLS,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,126,,126,,3248,,,0
H2,2017,2017,2017,4,0,1,Import,626,Timor-Leste,TLS,620,Portugal,PRT,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,2,,2,,1595,,,0
H2,2017,2017,2017,4,0,1,Import,626,Timor-Leste,TLS,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,300,,4208,,,2
H2,2017,2017,2017,4,0,1,Import,626,Timor-Leste,TLS,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits and microassemblies.,8,Weight in kilograms,,,0,,0,,15,,,0
H2,2017,2017,2017,4,0,1,Import,626,Timor-Leste,TLS,842,USA,USA,,,,,,,,8542,Electronic integrated circuits and microassemblies.,1,No Quantity,,,0,,2,,4752,,,2
