Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1128998,,554776892,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,327,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,30,,100125,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,47,,22809,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2168,,836084,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2162,,496849,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,955,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,443,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1471,,68535,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6123,,1426739,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,411,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,12162,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,259901,,90490015,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,286,,289732,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1600,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27810,,15000961,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,467,,124618,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18,,4948,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,608,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,161677,,752,,181467,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8416,,2233822,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,34818,,11779149,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2674,,22,,2513,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,328,Guyana,GUY,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,711,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1645,,418163,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21947,,1592497,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,352,Iceland,ISL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,87,,40846,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5663,,1732579,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1503,,1336289,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,314,,386145,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16820,,2447084,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,384,Côte d'Ivoire,CIV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,4328,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,26804,,8538328,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,139098,,29498994,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,434,Libya,LBY,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,134,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2433,,6,,5155,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,442,Luxembourg,LUX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,408,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,446,"China, Macao SAR",MAC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,3139,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,94514,,45245354,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,466,Mali,MLI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,276,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1218,,473129,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,478,Mauritania,MRT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1337,,6,,1714,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11080,,3957122,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,200523,,217962368,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,499,Montenegro,MNE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,888,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3401,,551759,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,516,Namibia,NAM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,33,,39432,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4232,,918508,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,554,New Zealand,NZL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,472,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17,,8838,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,41380,,20760401,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10110,,331688,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,620,Portugal,PRT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7038,,343026,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,634,Qatar,QAT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,9111,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,642,Romania,ROU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,123,,51994,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,643,Russian Federation,RUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12,,4768,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,660,Anguilla,AIA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,107,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,674,San Marino,SMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23,,4449,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,688,Serbia,SRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,2026,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,699,India,IND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2723,,1017740,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16177,,10027499,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,703,Slovakia,SVK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,42,,20797,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,33163,,17614794,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,705,Slovenia,SVN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,109,,109412,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,41,,8929,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13293,,2207692,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,439,,533760,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13731,,2917901,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,760,Syria,SYR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,2448,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,68072,,21883073,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1887,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,788,Tunisia,TUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1806,,116586,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,804,Ukraine,UKR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,303,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,807,TFYR of Macedonia,MKD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27,,18014,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,818,Egypt,EGY,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,136,,37784,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4082,,3191781,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,838,Free Zones,,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,151986,,2915,,469340,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,40080,,34848866,,,2
H5,2017,2017,2017,4,0,1,Import,792,Turkey,TUR,899,"Areas, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,1184,,,2
