Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23779,,189983,,,6
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,1,,508,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9961,,34260,,,6
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,16,,11,,488,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,60,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15,,30,,20119,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,2,,1059,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,209,,98,,4647,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,1680,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10,,13,,2085,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,8,,10305,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,10,,9,,6897,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,20,,75,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,404,Kenya,KEN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,588,,624,,9073,,,4
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,69,,2,,1823,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,5606,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,26,,103,,27844,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,586,Pakistan,PAK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,9,,18,,6528,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,699,India,IND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,226,,9834,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,1,,838,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,98,,16203,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7,,2,,877,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,200,,2851,,6481,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8787,,12237,,,0
H4,2017,2017,2017,4,0,1,Import,800,Uganda,UGA,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,898,,10445,,,0
