Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1689160,,752962146,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,92,,19992,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,1377,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,1018,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,100,,36738,,,2
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,217,,132933,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,153,,71851,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1151,,247877,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,300,,62131,,,2
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,2841,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,34,,9294,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,5757,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8500,,1149418,,,2
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23,,15459,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,205,,29168,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10657,,969826,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,92,Br. Virgin Isds,VGB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,100,,2021,,,2
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7300,,3345883,,,2
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,1538,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3081,,1567562,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,5698,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,378,,130035,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,140,Central African Rep.,CAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,45,,9297,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,65,,13501,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,107,,53558,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,49900,,60306312,,,2
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,318,,257419,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,178,Congo,COG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1080,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,4134,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2236,,776047,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,613,,108508,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,72400,,8853375,,,2
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4500,,1364679,,,2
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,1219,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,22,,8617,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,2560,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,231,Ethiopia,ETH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,5840,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1829,,738785,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6800,,1398152,,,2
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,26100,,6324947,,,2
