Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4422608,,877241998,,,6
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,12051,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17483,,9835027,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,241,,5,,1046,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,145,,111000,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,113,,27890,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,291,,309399,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,194908,,22304579,,,6
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,31,,10639,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17,,19517,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5040,,39,,35488,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2310898,,22552,,8269146,,,6
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,169,,85236,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,1439,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,381,,330701,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5847,,1880084,,,6
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21909,,8374151,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,52,,41065,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,132,Cabo Verde,CPV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,21,,,0
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,36,,4829,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,135,,76223,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,26367,,11631315,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,48,,52704,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,178,Congo,COG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,417,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,180,Dem. Rep. of the Congo,COD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1080,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,28653,,17,,98797,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11263,,4880269,,,6
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,192,Cuba,CUB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4200,,40,,15433,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,611,,228930,,,6
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,204,Benin,BEN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,534,,,2
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8660,,4147685,,,6
