Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,180393,,5319074193,,,6
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21,,4506,,,2
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,34,,,6
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,2689,,,2
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,8,,152,,,0
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,168,,64375,,,2
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,542,,10,,2229,,,2
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,1349,,,2
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,44,,13847,,,2
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,1770,,,2
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,112,,,2
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7997,,45,,39797,,,2
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1798,,,2
H5,2017,2017,2017,4,0,2,Export,372,Ireland,IRL,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20,,3784,,,2
