Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,381,Italy,ITA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1337332874,,,0
H5,2017,2017,2017,4,0,2,Export,381,Italy,ITA,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,290957,,,0
H5,2017,2017,2017,4,0,2,Export,381,Italy,ITA,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,193216,,,0
H5,2017,2017,2017,4,0,2,Export,381,Italy,ITA,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,48,,48,,51681,,,0
H5,2017,2017,2017,4,0,2,Export,381,Italy,ITA,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,171136,,,0
H5,2017,2017,2017,4,0,2,Export,381,Italy,ITA,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1508576,,,0
H5,2017,2017,2017,4,0,2,Export,381,Italy,ITA,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,26873,,4688192,,,0
H5,2017,2017,2017,4,0,2,Export,381,Italy,ITA,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,112,,112,,36966,,,0
H5,2017,2017,2017,4,0,2,Export,381,Italy,ITA,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,12,,12,,5045,,,0
H5,2017,2017,2017,4,0,2,Export,381,Italy,ITA,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,23,,23,,60004,,,0
