Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,607058,,22724220,,,6
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,29,,71679,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1239,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,12236,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,6662,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,32,,5189,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,44,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,920,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,276,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3086,,2311060,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,870,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18,,174429,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20,,4584,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,5733,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,860,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,89400,,352,,153357,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2130,,7,,8454,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,231,Ethiopia,ETH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,74,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,798,,558003,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,579,,5,,1123,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,114443,,212797,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,258,French Polynesia,PYF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,89,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,5995,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2144999,,131827,,6825156,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25,,5161,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,320,Guatemala,GTM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,221,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,34,,190061,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15,,9594,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,297,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,5639,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,159,,78694,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,384,Côte d'Ivoire,CIV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,46,,1125,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,5398,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,398,Kazakhstan,KAZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,300,,55279,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,4287,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,417,Kyrgyzstan,KGZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,2275,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,428,Latvia,LVA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,155329,,813739,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,789,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,2134,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,498,Rep. of Moldova,MDA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,35,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,26,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,37,,69247,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,96,,38581,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1306,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,192006,,366081,,,6
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,620,Portugal,PRT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,26,,13506,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,634,Qatar,QAT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,26,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,642,Romania,ROU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12,,7066,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,643,Russian Federation,RUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7363,,10216603,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,688,Serbia,SRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,9270,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,699,India,IND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,40,,13507,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,5334,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,703,Slovakia,SVK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15,,10782,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,705,Slovenia,SVN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,1660,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,80,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,33,,65930,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,729,Sudan,SDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1038,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,58191,,507,,171720,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23,,234,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,57,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,792,Turkey,TUR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,3271,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,795,Turkmenistan,TKM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,506,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,800,Uganda,UGA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1883,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,804,Ukraine,UKR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,45358,,190,,81773,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,56,,67602,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,21789,,47,,41458,,,2
H5,2017,2017,2017,4,0,2,Export,440,Lithuania,LTU,860,Uzbekistan,UZB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,116,,,2
