Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8401131,,5191986401,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,196,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,61,,22274,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,120,,78352,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,771,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,140,,11851,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,28,Antigua and Barbuda,ATG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,555,,17979,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,115,,20519,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,842,,168608,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1600,,824733,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,39298,,38900006,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,44,Bahamas,BHS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,53,,10084,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,292,,128301,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14,,64217,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,2212,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,2315,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,234906,,124647607,,,6
H5,2017,2017,2017,4,0,2,Export,528,Netherlands,NLD,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,371,,80173,,,6
