Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,36386415,,92399443488,,,6
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,135,,1,,131,,,4
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,544,,1102538,,,4
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4717,,4117508,,,4
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23954,,70064012,,,6
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2065,,754605,,,4
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,17,,28,,14701,,,0
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7167,,46084526,,,6
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,6,,0,,98,,,4
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,112429,,173450690,,,6
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,84,Belize,BLZ,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,456789,,513,,671199,,,4
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,90,Solomon Isds,SLB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,95,,12,,2729,,,0
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,92,Br. Virgin Isds,VGB,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,669408,,26,,30488,,,0
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,200010,,20,,47491,,,0
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,19049,,31611909,,,4
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,253,,141,,10820,,,4
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,311,,139679,,,0
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,444,,19667,,,0
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,366246,,103,,283042,,,0
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8239,,15494347,,,6
H5,2017,2017,2017,4,0,2,Export,490,"Other Asia, nes",,136,Cayman Isds,CYM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,112813,,78,,163195,,,0
