Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14883561,,86103151684,,,6
H5,2017,2017,2017,4,0,2,Export,410,Rep. of Korea,KOR,12,Algeria,DZA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,295,,381349,,,2
H5,2017,2017,2017,4,0,2,Export,410,Rep. of Korea,KOR,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,117,,137824,,,2
H5,2017,2017,2017,4,0,2,Export,410,Rep. of Korea,KOR,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2852,,120667,,,2
H5,2017,2017,2017,4,0,2,Export,410,Rep. of Korea,KOR,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3617,,4662918,,,2
H5,2017,2017,2017,4,0,2,Export,410,Rep. of Korea,KOR,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1535,,1668544,,,2
H5,2017,2017,2017,4,0,2,Export,410,Rep. of Korea,KOR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,151371,,242217544,,,2
H5,2017,2017,2017,4,0,2,Export,410,Rep. of Korea,KOR,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,82,,8807,,,2
H5,2017,2017,2017,4,0,2,Export,410,Rep. of Korea,KOR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,61,,119648,,,2
H5,2017,2017,2017,4,0,2,Export,410,Rep. of Korea,KOR,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,18,,6230,,,2
H5,2017,2017,2017,4,0,2,Export,410,Rep. of Korea,KOR,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,184236,,1151097749,,,2
H5,2017,2017,2017,4,0,2,Export,410,Rep. of Korea,KOR,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,40,,16117,,,2
H5,2017,2017,2017,4,0,2,Export,410,Rep. of Korea,KOR,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17,,13164,,,2
