Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,46606,,16687374,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,8,Albania,ALB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,5246,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,361,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,451,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,276,,94392,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7221,,704231,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,924,,161227,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,383,,49145,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,680,,475104,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,1041,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,259,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,6340,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,88,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,339,,382376,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,54,,18411,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,2160,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2775,,691438,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,219,,135291,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,635,,155141,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,34,,11396,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,3510,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,13,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,391,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,46,,21369,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,310,,146836,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,260,Fr. South Antarctic Terr.,ATF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,1103,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,329,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8026,,1716994,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,288,Ghana,GHA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,4907,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,138,,42946,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,260,,484342,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1854,,391561,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,352,Iceland,ISL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,8225,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,3421,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,364,Iran,IRN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17,,10758,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,368,Iraq,IRQ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,332,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,223,,58626,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,21592,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7030,,1167039,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,40,,18771,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,398,Kazakhstan,KAZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1429,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,63,,78947,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,418,Lao People's Dem. Rep.,LAO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1661,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,422,Lebanon,LBN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,1982,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,428,Latvia,LVA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,2959,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,5264,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,442,Luxembourg,LUX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,42,,38932,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,446,"China, Macao SAR",MAC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,79,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12,,3792,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,462,Maldives,MDV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,395,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,470,Malta,MLT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,16,,15617,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,632,,112512,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,110,,43681,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,499,Montenegro,MNE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,36,,9179,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1663,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,524,Nepal,NPL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,155,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1423,,1287822,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,558,Nicaragua,NIC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20,,10533,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,566,Nigeria,NGA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,372,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,128,,39531,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,591,Panama,PAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,1288,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,604,Peru,PER,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,385,,25313,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27,,11349,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1283,,321623,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,620,Portugal,PRT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,2913,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,634,Qatar,QAT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,2107,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,642,Romania,ROU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1537,,452061,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,643,Russian Federation,RUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,29,,15905,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,670,Saint Vincent and the Grenadines,VCT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1007,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,682,Saudi Arabia,SAU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27,,25319,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,688,Serbia,SRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3882,,4112897,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,699,India,IND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,20,,7702,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,42,,9064,,,2
H5,2017,2017,2017,4,0,2,Export,705,Slovenia,SVN,703,Slovakia,SVK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,65,,22737,,,2
