Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8577,,9800062,,,2
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,77,,398866,,,2
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,9919,,4,,1957,,,2
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,5439,,,2
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,220,,,2
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,407,,0,,819,,,2
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12748,,50,,45090,,,2
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,29,,0,,597,,,0
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,69,,0,,575,,,0
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2348,,547488,,,2
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,32549,,252,,140679,,,2
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,231,Ethiopia,ETH,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1640,,3,,13543,,,2
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,23284,,27,,47394,,,2
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12148,,0,,3820,,,0
H4,2017,2017,2017,4,0,2,Export,804,Ukraine,UKR,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,22,,1191,,,2
