Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,858,Uruguay,URY,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,59234,,1996,,153759,,,0
H5,2017,2017,2017,4,0,2,Export,858,Uruguay,URY,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,31225,,161,,44820,,,0
H5,2017,2017,2017,4,0,2,Export,858,Uruguay,URY,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,121,,75,,987,,,0
H5,2017,2017,2017,4,0,2,Export,858,Uruguay,URY,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,1,,848,,,0
H5,2017,2017,2017,4,0,2,Export,858,Uruguay,URY,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,17160,,141,,9165,,,0
H5,2017,2017,2017,4,0,2,Export,858,Uruguay,URY,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,0,,1822,,,0
H5,2017,2017,2017,4,0,2,Export,858,Uruguay,URY,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3,,1,,1383,,,0
H5,2017,2017,2017,4,0,2,Export,858,Uruguay,URY,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,7,,77,,2142,,,0
H5,2017,2017,2017,4,0,2,Export,858,Uruguay,URY,604,Peru,PER,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,9002,,91,,9983,,,0
H5,2017,2017,2017,4,0,2,Export,858,Uruguay,URY,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,83,,1270,,58634,,,0
H5,2017,2017,2017,4,0,2,Export,858,Uruguay,URY,838,Free Zones,,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12,,15,,2676,,,0
H5,2017,2017,2017,4,0,2,Export,858,Uruguay,URY,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1617,,159,,21299,,,0
