Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,206567,,2706,,736572,,,6
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,12,,0,,260,,,4
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,145733,,395,,422264,,,4
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,6756,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,25,,14,,24266,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1293,,2,,80417,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,33,,0,,138,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,0,,1594,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,709,,1,,5449,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,226,,8,,21925,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,454,Malawi,MWI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,30,,0,,10,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,14834,,9,,41313,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,484,Mexico,MEX,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,728,,0,,1297,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,9686,,7,,16105,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,499,Montenegro,MNE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,45,,0,,35,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,105,,0,,83,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15457,,14,,45421,,,4
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4785,,2231,,8988,,,2
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,699,India,IND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,0,,2017,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1269,,1,,16689,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15,,0,,26,,,4
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8729,,9,,14436,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,804,Ukraine,UKR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1550,,1,,5518,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,8,,0,,3001,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1185,,5,,18351,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,899,"Areas, nes",,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,101,,0,,199,,,0
