Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3056125,,837018166,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,69,,13403,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,123,,25895,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,5798,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,141,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4510,,2226691,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2231,,73388,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,47512,,1971375,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1105,,4266395,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,3308,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1193,,2566197,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,400,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1029,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,147800,,81516813,,,2
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,222,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,485,,139635,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,291,,30826,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,1180,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,297100,,26286820,,,2
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1019,,188398,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,32,,6312,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,127,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,147,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2790,,598181,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11200,,1386071,,,2
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,100,,47694,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,961500,,309414641,,,2
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,120,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8653,,1226295,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,61500,,6571774,,,2
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1433,,1092347,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,364,Iran,IRN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,2341,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9700,,3245225,,,2
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1545,,418975,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,46695,,6274149,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,384,Côte d'Ivoire,CIV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,500,,108114,,,2
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,30500,,10068579,,,2
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,400,Jordan,JOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,56,,10929,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,408,Dem. People's Rep. of Korea,PRK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,28,,14764,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12798,,7081789,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,414,Kuwait,KWT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14,,2697,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,422,Lebanon,LBN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,904,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,428,Latvia,LVA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12504,,1413292,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,440,Lithuania,LTU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,64,,12735,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,442,Luxembourg,LUX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,955,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,450,Madagascar,MDG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,454,Malawi,MWI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,79014,,33542070,,,6
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,466,Mali,MLI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,29,,,6
