Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,334014,,,6
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,911,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,17119,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,311,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7,,12430,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,19,,22038,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,24,,15439,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,29,,4760,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2879,,35,,8122,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,4296,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8,,430,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,516,Namibia,NAM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,600,,140,,,6
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,400,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,699,India,IND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,67,,4878,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,702,Singapore,SGP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,34,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,703,Slovakia,SVK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,73,,918,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,278,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,710,South Africa,ZAF,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,158169,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1979,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,42,,8764,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,2176,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,22,,8282,,,2
H4,2017,2017,2017,4,0,1,Import,72,Botswana,BWA,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,622,,62132,,,2
