Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,70834008,,261161384489,,,6
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,4,Afghanistan,AFG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9,,19488,,,6
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,20,Andorra,AND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,23520,,,2
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,28,Antigua and Barbuda,ATG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,2685,,,2
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,31,Azerbaijan,AZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,7738,,,2
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1134,,,6
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1732,,4085568,,,6
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,35805,,164012265,,,6
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,7466,,,6
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,212,,98460,,,2
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,12650,,,2
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,52,Barbados,BRB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,66,,8117,,,2
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1590,,5871253,,,6
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,64,Bhutan,BTN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,344,,,6
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,356,,,6
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1155,,4734692,,,6
