Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,429259,,55310159,,,6
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15400,,69,,63578,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,121,,16677,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,657,,227172,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,552,,44569,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2439,,3304235,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,171,,11,,13085,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6028,,572066,,,2
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,39816,,240,,36311,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,178435,,15533941,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,57070,,2265,,248202,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,6776,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,509,,74742,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,627,,39712,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,8,,722,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,5,,22638,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,0,,159,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,20,,49,,18701,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,147,,270,,36281,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1794,,901043,,,2
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,268,Georgia,GEO,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,13,,10311,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17189,,5888735,,,0
