Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,292622,,360599929,,,6
H5,2017,2017,2017,4,0,1,Import,233,Estonia,EST,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,348,,,6
H5,2017,2017,2017,4,0,1,Import,233,Estonia,EST,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,545,,342255,,,2
H5,2017,2017,2017,4,0,1,Import,233,Estonia,EST,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,8791,,1304146,,,2
H5,2017,2017,2017,4,0,1,Import,233,Estonia,EST,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,147,,12779,,,2
H5,2017,2017,2017,4,0,1,Import,233,Estonia,EST,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,148,,417407,,,2
H5,2017,2017,2017,4,0,1,Import,233,Estonia,EST,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27131,,11460569,,,6
H5,2017,2017,2017,4,0,1,Import,233,Estonia,EST,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,5524,,,2
H5,2017,2017,2017,4,0,1,Import,233,Estonia,EST,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,189,,84267,,,6
H5,2017,2017,2017,4,0,1,Import,233,Estonia,EST,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,150,,127914,,,6
H5,2017,2017,2017,4,0,1,Import,233,Estonia,EST,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,192,,48796,,,2
H5,2017,2017,2017,4,0,1,Import,233,Estonia,EST,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15748,,3712238,,,6
H5,2017,2017,2017,4,0,1,Import,233,Estonia,EST,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1948,,343023,,,6
