Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,92741,,1815763,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1318,,91886,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,115,,3872,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4297,,112218,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,210,,2618,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,46,,2999,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,53933,,376307,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5054,,344,,5516,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,13795,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,19986,,721,,44219,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,45802,,3495,,72933,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6,,63,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,834,,11005,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,25,,7388,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,163,,1109,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,14471,,2694,,13628,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1217,,82,,3123,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,410,Rep. of Korea,KOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,815,,14785,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,422,Lebanon,LBN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,41,,112,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,442,Luxembourg,LUX,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,26,,6173,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,2289,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1016,,73,,2432,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,504,Morocco,MAR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,51,,41,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,560,,51234,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,566,Nigeria,NGA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,8909,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,579,Norway,NOR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,48142,,542,,160261,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,586,Pakistan,PAK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,5,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,1207,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,620,Portugal,PRT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,16,,,2
H4,2017,2017,2017,4,0,1,Import,288,Ghana,GHA,682,Saudi Arabia,SAU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1240,,13672,,,2
