Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,699,India,IND,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,2104623437,,,6
H5,2017,2017,2017,4,0,1,Import,699,India,IND,28,Antigua and Barbuda,ATG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,43,,,,3740,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,273,,243664,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1040,,880780,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1035,,831823,,,6
H5,2017,2017,2017,4,0,1,Import,699,India,IND,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,862150,,345,,318799,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,93,,52195,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1360,,963226,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2081,,1287394,,,6
H5,2017,2017,2017,4,0,1,Import,699,India,IND,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3982,,,,372441,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,148,Chad,TCD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1252,,,,1033,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,106981,,,,86760,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,841665,,584890715,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,159816,,,,36503,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,170182,,,,138486,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,610,,,,552,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,35,,,,4219,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1140843,,391,,350164,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,442,,398487,,,4
H5,2017,2017,2017,4,0,1,Import,699,India,IND,222,El Salvador,SLV,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3557471,,,,1002880,,,4
