Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1044102000,,,6
H5,2017,2017,2017,4,0,1,Import,376,Israel,ISR,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,214000,,,6
H5,2017,2017,2017,4,0,1,Import,376,Israel,ISR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,140,,130000,,,6
H5,2017,2017,2017,4,0,1,Import,376,Israel,ISR,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,78194,,71947000,,,6
H5,2017,2017,2017,4,0,1,Import,376,Israel,ISR,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,61000,,,6
H5,2017,2017,2017,4,0,1,Import,376,Israel,ISR,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,7000,,,6
H5,2017,2017,2017,4,0,1,Import,376,Israel,ISR,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2032,,1602000,,,6
H5,2017,2017,2017,4,0,1,Import,376,Israel,ISR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,17937,,16365000,,,6
H5,2017,2017,2017,4,0,1,Import,376,Israel,ISR,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,3000,,,6
H5,2017,2017,2017,4,0,1,Import,376,Israel,ISR,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,860,,768000,,,6
