Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,71389,,1004156,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12,,4000,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,45985,,391343,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,1890,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12,,2508,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,514,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,53,,55890,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,32,,4430,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,544,,121654,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,14,,1774,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,225,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12,,7211,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,193,,30860,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,32,,10884,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,458,Malaysia,MYS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,120,,22363,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,490,"Other Asia, nes",,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,135,,36656,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,528,Netherlands,NLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,723,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,608,Philippines,PHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15,,5859,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,616,Poland,POL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,977,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,704,Viet Nam,VNM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5,,978,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,724,Spain,ESP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21632,,170819,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,752,Sweden,SWE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2,,691,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,757,Switzerland,CHE,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,30,,30,,11747,,,0
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,764,Thailand,THA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,15,,5070,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,784,United Arab Emirates,ARE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,377,,7733,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,792,Turkey,TUR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1766,,7350,,,2
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,826,United Kingdom,GBR,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,20,,20,,847,,,0
H5,2017,2017,2017,4,0,1,Import,400,Jordan,JOR,842,USA,USA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,370,,99146,,,2
