Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,4,0,1,Import,404,Kenya,KEN,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,68786,,3207026,,,6
H4,2017,2017,2017,4,0,1,Import,404,Kenya,KEN,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,14,,35,,6951,,,4
H4,2017,2017,2017,4,0,1,Import,404,Kenya,KEN,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,16,,52,,5389,,,4
H4,2017,2017,2017,4,0,1,Import,404,Kenya,KEN,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,398,,250,,62187,,,0
H4,2017,2017,2017,4,0,1,Import,404,Kenya,KEN,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,50702,,1710734,,,2
H4,2017,2017,2017,4,0,1,Import,404,Kenya,KEN,180,Dem. Rep. of the Congo,COD,,,,,,,,8542,Electronic integrated circuits,8,Weight in kilograms,,,35,,35,,67,,,0
H4,2017,2017,2017,4,0,1,Import,404,Kenya,KEN,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,19,,91,,36529,,,0
H4,2017,2017,2017,4,0,1,Import,404,Kenya,KEN,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,271,,,0
H4,2017,2017,2017,4,0,1,Import,404,Kenya,KEN,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,5,,1080,,,0
H4,2017,2017,2017,4,0,1,Import,404,Kenya,KEN,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,222,,463,,32521,,,4
H4,2017,2017,2017,4,0,1,Import,404,Kenya,KEN,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,481,,59400,,,6
H4,2017,2017,2017,4,0,1,Import,404,Kenya,KEN,340,Honduras,HND,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,1,,355,,,0
H4,2017,2017,2017,4,0,1,Import,404,Kenya,KEN,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5776,,763,,24772,,,0
