Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,6583304,,6738293788,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,24,Angola,AGO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1104,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,19,,8929,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,2166,,1916194,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12526,,7490812,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,50,Bangladesh,BGD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,27,,12675,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,51,Armenia,ARM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,12,,1034,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,79392,,33735750,,,2
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,68,Bolivia (Plurinational State of),BOL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,217,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,52,,14509,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,72,Botswana,BWA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,23,,7848,,,2
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,141,,90916,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,84,Belize,BLZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,9,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,96,Brunei Darussalam,BRN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,421,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,752,,407638,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,104,Myanmar,MMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,1226,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,112,Belarus,BLR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,22,,12309,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,116,Cambodia,KHM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,1041,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4725,,2808810,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,144,Sri Lanka,LKA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1,,1654,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,21,,8920,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,514504,,198624326,,,2
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,170,Colombia,COL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,13,,2913,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,180,Dem. Rep. of the Congo,COD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,10,,2509,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,69,,50557,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,191,Croatia,HRV,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,343,,162419,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,192,Cuba,CUB,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,2199,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,609,,204896,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,203,Czechia,CZE,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11250,,8719501,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,208,Denmark,DNK,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,7140,,2693931,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,214,Dominican Rep.,DOM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,2184,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,218,Ecuador,ECU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,66,,12778,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,226,Equatorial Guinea,GNQ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,293,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,231,Ethiopia,ETH,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,11,,6591,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,233,Estonia,EST,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,224,,139490,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,234,Faeroe Isds,FRO,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,0,,460,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,242,Fiji,FJI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,4,,1052,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,246,Finland,FIN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5645,,4880109,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,251,France,FRA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1101788,,489636791,,,2
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,276,Germany,DEU,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,1635645,,2174732914,,,2
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,288,Ghana,GHA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,62,,14837,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,300,Greece,GRC,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,842,,362814,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,320,Guatemala,GTM,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,31,,2247,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,340,Honduras,HND,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3,,5769,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,344,"China, Hong Kong SAR",HKG,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,308938,,336191184,,,2
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,348,Hungary,HUN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,5073,,2254852,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,352,Iceland,ISL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,103,,42876,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,360,Indonesia,IDN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,9458,,804054,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,364,Iran,IRN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,38,,3431,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,372,Ireland,IRL,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,628409,,470853703,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,376,Israel,ISR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,3500,,7050929,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,381,Italy,ITA,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,79522,,9437419,,,2
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,392,Japan,JPN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,34273,,21415879,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,398,Kazakhstan,KAZ,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,41,,10734,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,400,Jordan,JOR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,80,,36637,,,6
H5,2017,2017,2017,4,0,1,Import,528,Netherlands,NLD,404,Kenya,KEN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,101,,71253,,,6
