Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,0,World,WLD,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,58118026,,,6
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,32,Argentina,ARG,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,4,,,,137,,,4
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,36,Australia,AUS,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,823754,,,6
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,40,Austria,AUT,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,204754,,,6
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,48,Bahrain,BHR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,26,,,6
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,56,Belgium,BEL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3104,,6,,6248,,,6
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,70,Bosnia Herzegovina,BIH,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,2,,,,20,,,4
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,76,Brazil,BRA,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,15179,,,,3559,,,6
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,100,Bulgaria,BGR,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,41,,,,921,,,4
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,120,Cameroon,CMR,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,1063,,,6
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,124,Canada,CAN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,93880,,,6
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,148,Chad,TCD,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,1,,,,605,,,4
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,152,Chile,CHL,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,5,,,,5,,,4
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,156,China,CHN,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,7698738,,,6
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,188,Costa Rica,CRI,,,,,,,,8542,Electronic integrated circuits,1,No Quantity,,,0,,,,132654,,,6
H5,2017,2017,2017,4,0,1,Import,554,New Zealand,NZL,196,Cyprus,CYP,,,,,,,,8542,Electronic integrated circuits,5,Number of items,,,3500,,,,9596,,,4
